series,date,sector,value
abs,2018-01-01,p3.3,16691
abs,2018-01-01,p3.3.1,7737
abs,2018-01-01,p3.3.2,4898
abs,2018-01-01,p3.3.3,4056
abs,2018-01-01,p3.4,97040
abs,2018-01-01,p3.4.1,45228
abs,2018-01-01,p3.4.2,33614
abs,2018-01-01,p3.4.3,7930
abs,2018-01-01,p3.4.4,10268
abs,2018-01-01,p3.5,37592
abs,2018-01-01,p3.5.1,11913
abs,2018-01-01,p3.5.2,9070
abs,2018-01-01,p3.5.3,16609
abs,2018-01-01,p3.6,83357
abs,2018-01-01,p3.6.1,9612
abs,2018-01-01,p3.6.2,5292
abs,2018-01-01,p3.6.3,6613
abs,2018-01-01,p3.6.4,56773
abs,2018-01-01,p3.6.5,5067
abs,2018-01-01,p3.7,32703
abs,2018-01-01,p3.7.1,23674
abs,2018-01-01,p3.7.2,4611
abs,2018-01-01,p3.7.3,4418
abs,2018-01-01,p4,70048
abs,2018-01-01,p4.1,32523
abs,2018-01-01,p4.1.1,16407
abs,2018-01-01,p4.1.2,16116
abs,2018-01-01,p4.2,25279
abs,2018-01-01,p4.3,12247
abs,2018-01-01,p5,804993
abs,2018-01-01,p5.1,170877
abs,2018-01-01,p5.1.1,30102
abs,2018-01-01,p5.1.2,7709
abs,2018-01-01,p5.1.3,52707
abs,2018-01-01,p5.1.3.1,13247
abs,2018-01-01,p5.1.3.2,6600
abs,2018-01-01,p5.1.3.3,6530
abs,2018-01-01,p5.1.3.4,7804
abs,2018-01-01,p5.1.3.5,7908
abs,2018-01-01,p5.1.3.6,8278
abs,2018-01-01,p5.1.3.7,2339
abs,2018-01-01,p5.1.4,80359
abs,2018-01-01,p5.1.4.1,8156
abs,2018-01-01,p5.1.4.2,53959
abs,2018-01-01,p5.1.4.3,18244
abs,2018-01-01,p5.2,287573
abs,2018-01-01,p5.2.1,237239
abs,2018-01-01,p5.2.1.1,104884
abs,2018-01-01,p5.2.1.2,107690
abs,2018-01-01,p5.2.1.3,24665
abs,2018-01-01,p5.2.2,40596
abs,2018-01-01,p5.2.3,9738
abs,2018-01-01,p5.3,158175
abs,2018-01-01,p5.3.1,68190
abs,2018-01-01,p5.3.1.1,57487
abs,2018-01-01,p5.3.1.2,10703
abs,2018-01-01,p5.3.2,22765
abs,2018-01-01,p5.3.2.1,22129
abs,2018-01-01,p5.3.2.2,635
abs,2018-01-01,p5.3.3,22293
abs,2018-01-01,p5.3.4,44927
abs,2018-01-01,p5.3.4.1,30824
abs,2018-01-01,p5.3.4.2,14103
abs,2018-01-01,p5.4,70145
abs,2018-01-01,p5.4.1,10541
abs,2018-01-01,p5.4.2,11708
abs,2018-01-01,p5.4.3,30978
abs,2018-01-01,p5.4.4,370
abs,2018-01-01,p5.4.5,1367
abs,2018-01-01,p5.4.6,15181
abs,2018-01-01,p5.5,118224
abs,2018-01-01,p5.5.01,15151
abs,2018-01-01,p5.5.02,8139
abs,2018-01-01,p5.5.03,10741
abs,2018-01-01,p5.5.04,14819
abs,2018-01-01,p5.5.05,331
abs,2018-01-01,p5.5.06,2480
abs,2018-01-01,p5.5.07,17058
abs,2018-01-01,p5.5.08,1760
abs,2018-01-01,p5.5.09,45581
abs,2018-01-01,p5.5.10,2163
abs,2018-01-01,p6,17453
abs,2019-01-01,p0,1512738
abs,2019-01-01,p1,109542
abs,2019-01-01,p1.1,71008
abs,2019-01-01,p1.1.1,3324
abs,2019-01-01,p1.1.2,40131
abs,2019-01-01,p1.1.3,2427
abs,2019-01-01,p1.1.4,11500
abs,2019-01-01,p1.1.5,5400
abs,2019-01-01,p1.1.6,7113
abs,2019-01-01,p1.1.7,1113
abs,2019-01-01,p1.2,17204
abs,2019-01-01,p1.2.1,10564
abs,2019-01-01,p1.2.2,1306
abs,2019-01-01,p1.2.3,5334
abs,2019-01-01,p1.3,7564
abs,2019-01-01,p1.4,13766
abs,2019-01-01,p1.4.1,8687
abs,2019-01-01,p1.4.2,5079
abs,2019-01-01,p2,131084
abs,2019-01-01,p2.1,64285
abs,2019-01-01,p2.2,56035
abs,2019-01-01,p2.3,10764
abs,2019-01-01,p3,323862
abs,2019-01-01,p3.1,39369
abs,2019-01-01,p3.1.1,12131
abs,2019-01-01,p3.1.2,18061
abs,2019-01-01,p3.1.3,5269
abs,2019-01-01,p3.1.4,3908
abs,2019-01-01,p3.2,6111
abs,2019-01-01,p3.2.1,5285
abs,2019-01-01,p3.2.2,826
abs,2019-01-01,p3.3,17662
abs,2019-01-01,p3.3.1,8167
abs,2019-01-01,p3.3.2,5098
abs,2019-01-01,p3.3.3,4397
abs,2019-01-01,p3.4,100042
abs,2019-01-01,p3.4.1,47481
abs,2019-01-01,p3.4.2,33483
abs,2019-01-01,p3.4.3,8513
abs,2019-01-01,p3.4.4,10565
abs,2019-01-01,p3.5,38814
abs,2019-01-01,p3.5.1,12458
abs,2019-01-01,p3.5.2,9274
abs,2019-01-01,p3.5.3,17082
abs,2019-01-01,p3.6,87371
abs,2019-01-01,p3.6.1,9857
abs,2019-01-01,p3.6.2,5704
abs,2019-01-01,p3.6.3,6857
abs,2019-01-01,p3.6.4,59981
abs,2019-01-01,p3.6.5,4972
abs,2019-01-01,p3.7,34493
abs,2019-01-01,p3.7.1,24808
abs,2019-01-01,p3.7.2,4997
abs,2019-01-01,p3.7.3,4688
abs,2019-01-01,p4,71067
abs,2019-01-01,p4.1,30820
abs,2019-01-01,p4.1.1,15933
abs,2019-01-01,p4.1.2,14887
abs,2019-01-01,p4.2,27476
abs,2019-01-01,p4.3,12772
abs,2019-01-01,p5,860130
abs,2019-01-01,p5.1,183711
abs,2019-01-01,p5.1.1,32556
abs,2019-01-01,p5.1.2,8353
abs,2019-01-01,p5.1.3,57107
abs,2019-01-01,p5.1.3.1,14514
abs,2019-01-01,p5.1.3.2,6822
abs,2019-01-01,p5.1.3.3,6849
abs,2019-01-01,p5.1.3.4,8624
abs,2019-01-01,p5.1.3.5,8584
abs,2019-01-01,p5.1.3.6,9117
abs,2019-01-01,p5.1.3.7,2596
abs,2019-01-01,p5.1.4,85695
abs,2019-01-01,p5.1.4.1,8542
abs,2019-01-01,p5.1.4.2,57793
abs,2019-01-01,p5.1.4.3,19361
abs,2019-01-01,p5.2,310662
abs,2019-01-01,p5.2.1,253857
abs,2019-01-01,p5.2.1.1,111768
abs,2019-01-01,p5.2.1.2,116574
abs,2019-01-01,p5.2.1.3,25514
abs,2019-01-01,p5.2.2,46277
abs,2019-01-01,p5.2.3,10528
abs,2019-01-01,p5.3,168481
abs,2019-01-01,p5.3.1,70910
abs,2019-01-01,p5.3.1.1,59942
abs,2019-01-01,p5.3.1.2,10968
abs,2019-01-01,p5.3.2,24116
abs,2019-01-01,p5.3.2.1,23503
abs,2019-01-01,p5.3.2.2,613
abs,2019-01-01,p5.3.3,24104
abs,2019-01-01,p5.3.4,49351
abs,2019-01-01,p5.3.4.1,34112
abs,2019-01-01,p5.3.4.2,15239
abs,2019-01-01,p5.4,75023
abs,2019-01-01,p5.4.1,11498
abs,2019-01-01,p5.4.2,12513
abs,2019-01-01,p5.4.3,32684
abs,2019-01-01,p5.4.4,393
abs,2019-01-01,p5.4.5,1450
abs,2019-01-01,p5.4.6,16485
abs,2019-01-01,p5.5,122253
abs,2019-01-01,p5.5.01,14654
abs,2019-01-01,p5.5.02,8027
abs,2019-01-01,p5.5.03,9989
abs,2019-01-01,p5.5.04,16564
abs,2019-01-01,p5.5.05,342
abs,2019-01-01,p5.5.06,3038
abs,2019-01-01,p5.5.07,18162
abs,2019-01-01,p5.5.08,2256
abs,2019-01-01,p5.5.09,47453
abs,2019-01-01,p5.5.10,1766
abs,2019-01-01,p6,17053
abs,2020-01-01,p0,1418491
abs,2020-01-01,p1,115834
abs,2020-01-01,p1.1,80160
abs,2020-01-01,p1.1.1,2590
abs,2020-01-01,p1.1.2,50727
abs,2020-01-01,p1.1.3,2473
abs,2020-01-01,p1.1.4,12311
abs,2020-01-01,p1.1.5,5214
abs,2020-01-01,p1.1.6,5717
abs,2020-01-01,p1.1.7,1128
abs,2020-01-01,p1.2,17454
abs,2020-01-01,p1.2.1,11084
abs,2020-01-01,p1.2.2,1442
abs,2020-01-01,p1.2.3,4927
abs,2020-01-01,p1.3,6243
abs,2020-01-01,p1.4,11976
abs,2020-01-01,p1.4.1,7044
abs,2020-01-01,p1.4.2,4932
abs,2020-01-01,p2,96172
abs,2020-01-01,p2.1,39011
abs,2020-01-01,p2.2,47923
abs,2020-01-01,p2.3,9237
abs,2020-01-01,p3,315360
abs,2020-01-01,p3.1,41330
abs,2020-01-01,p3.1.1,13783
abs,2020-01-01,p3.1.2,19816
abs,2020-01-01,p3.1.3,4526
abs,2020-01-01,p3.1.4,3205
abs,2020-01-01,p3.2,5423
abs,2020-01-01,p3.2.1,4705
abs,2020-01-01,p3.2.2,718
abs,2020-01-01,p3.3,15936
abs,2020-01-01,p3.3.1,6943
abs,2020-01-01,p3.3.2,4915
abs,2020-01-01,p3.3.3,4078
abs,2020-01-01,p3.4,96757
abs,2020-01-01,p3.4.1,42119
abs,2020-01-01,p3.4.2,30668
abs,2020-01-01,p3.4.3,13334
abs,2020-01-01,p3.4.4,10636
abs,2020-01-01,p3.5,32992
abs,2020-01-01,p3.5.1,9962
abs,2020-01-01,p3.5.2,8916
abs,2020-01-01,p3.5.3,14114
abs,2020-01-01,p3.6,90955
abs,2020-01-01,p3.6.1,9612
abs,2020-01-01,p3.6.2,6072
abs,2020-01-01,p3.6.3,7172
abs,2020-01-01,p3.6.4,63395
abs,2020-01-01,p3.6.5,4704
abs,2020-01-01,p3.7,31965
abs,2020-01-01,p3.7.1,22978
abs,2020-01-01,p3.7.2,4712
abs,2020-01-01,p3.7.3,4275
abs,2020-01-01,p4,57657
abs,2020-01-01,p4.1,25964
abs,2020-01-01,p4.1.1,13377
abs,2020-01-01,p4.1.2,12587
abs,2020-01-01,p4.2,20044
abs,2020-01-01,p4.3,11650
abs,2020-01-01,p5,817713
abs,2020-01-01,p5.1,176621
abs,2020-01-01,p5.1.1,31452
abs,2020-01-01,p5.1.2,9090
abs,2020-01-01,p5.1.3,45383
abs,2020-01-01,p5.1.3.1,10780
abs,2020-01-01,p5.1.3.2,6223
abs,2020-01-01,p5.1.3.3,2334
abs,2020-01-01,p5.1.3.4,7806
abs,2020-01-01,p5.1.3.5,7390
abs,2020-01-01,p5.1.3.6,7772
abs,2020-01-01,p5.1.3.7,3078
abs,2020-01-01,p5.1.4,90696
abs,2020-01-01,p5.1.4.1,7640
abs,2020-01-01,p5.1.4.2,63025
abs,2020-01-01,p5.1.4.3,20031
abs,2020-01-01,p5.2,283558
abs,2020-01-01,p5.2.1,240527
abs,2020-01-01,p5.2.1.1,106060
abs,2020-01-01,p5.2.1.2,111500
abs,2020-01-01,p5.2.1.3,22967
abs,2020-01-01,p5.2.2,37796
abs,2020-01-01,p5.2.3,5235
abs,2020-01-01,p5.3,160818
abs,2020-01-01,p5.3.1,72344
abs,2020-01-01,p5.3.1.1,59992
abs,2020-01-01,p5.3.1.2,12352
abs,2020-01-01,p5.3.2,25298
abs,2020-01-01,p5.3.2.1,24736
abs,2020-01-01,p5.3.2.2,563
abs,2020-01-01,p5.3.3,20174
abs,2020-01-01,p5.3.4,43002
abs,2020-01-01,p5.3.4.1,31491
abs,2020-01-01,p5.3.4.2,11511
abs,2020-01-01,p5.4,68401
abs,2020-01-01,p5.4.1,11117
abs,2020-01-01,p5.4.2,11791
abs,2020-01-01,p5.4.3,34125
abs,2020-01-01,p5.4.4,480
abs,2020-01-01,p5.4.5,1308
abs,2020-01-01,p5.4.6,9580
abs,2020-01-01,p5.5,128315
abs,2020-01-01,p5.5.01,12500
abs,2020-01-01,p5.5.02,8384
abs,2020-01-01,p5.5.03,10500
abs,2020-01-01,p5.5.04,18181
abs,2020-01-01,p5.5.05,433
abs,2020-01-01,p5.5.06,4010
abs,2020-01-01,p5.5.07,20222
abs,2020-01-01,p5.5.08,2322
abs,2020-01-01,p5.5.09,48963
abs,2020-01-01,p5.5.10,2801
abs,2020-01-01,p6,15755
abs,2021-01-01,p0,1548701
abs,2021-01-01,p1,148152
abs,2021-01-01,p1.1,110146
abs,2021-01-01,p1.1.1,3125
abs,2021-01-01,p1.1.2,78219
abs,2021-01-01,p1.1.3,2551
abs,2021-01-01,p1.1.4,13717
